"","make","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","relDate"
"1","Mazda",21,6,160,110,3.9,2.62,16.46,0,1,4,4,1978-01-13
"2","Mazda",21,6,160,110,3.9,2.875,17.02,0,1,4,4,1971-08-18
"3","Datsun",22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,1972-11-10
"4","Hornet",21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,1973-08-13
"5","Hornet",18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,1972-10-17
"6","Valiant",18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,1974-08-04
"7","Duster",14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,1973-05-03
"8","Merc",24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,1978-02-05
"9","Merc",22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,1976-07-20
"10","Merc",19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,1974-06-30
"11","Merc",17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,1975-05-20
"12","Merc",16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1972-06-20
"13","Merc",17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1979-12-25
"14","Merc",15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,1970-08-27
"15","Cadillac",10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,1974-07-27
"16","Lincoln",10.4,8,460,215,3,5.424,17.82,0,0,3,4,1976-03-06
"17","Chrysler",14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,1972-08-06
"18","Fiat",32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,1973-08-01
"19","Honda",30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,1975-02-23
"20","Toyota",33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,1974-03-19
"21","Toyota",21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,1972-02-01
"22","Dodge",15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,1974-02-17
"23","AMC",15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,1971-03-10
"24","Camaro",13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,1972-10-12
"25","Pontiac",19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,1974-11-05
"26","Fiat",27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,1973-05-09
"27","Porsche",26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,1973-02-15
"28","Lotus",30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,1974-10-29
"29","Ford",15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,1970-12-22
"30","Ferrari",19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,1978-02-28
"31","Maserati",15,8,301,335,3.54,3.57,14.6,0,1,5,8,1976-09-13
"32","Volvo",21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,1970-10-31
